unitid,weightedEnrollment,totalEnrollment,locale,InstControl,cbsatype,TotalRate,UGaidrate,FallNonResRate,FallResRate,FallDistRate,ResCost,NonResCost,AvgSalary,TotalStaff,SalariesPaid,staffperstu
153269,-69.86557209,717,1,Private not-for-profit,1,76.57,97.12,,,,45734,45734,92862.654618,249,23122801,0.35
153302,-744.8655721,42,1,Private not-for-profit,1,78.57,91.24,,,,19550,19550,41743.428571,21,876612,0.5
153320,-739.8655721,47,2,Private not-for-profit,1,59.57,90.28,,,,17480,17480,47958,20,959160,0.43
153366,-497.8655721,289,4,Private not-for-profit,3,47.4,89.09,,,,31250,31250,56300.111111,45,2533505,0.16
153375,-520.8655721,266,1,Private not-for-profit,1,50.75,95.57,,,,30224,30224,61643.177778,90,5547886,0.34
153384,-344.8655721,442,3,Private not-for-profit,3,86.88,99.53,,,,58156,58156,102929.54634,205,21100557,0.46
153603,5384.1344279,6171,1,Public,1,76.05,74.44,39.8,60.2,,8324,24136,107183.61526,1245,133443601,0.2
153621,-666.8655721,120,3,Private not-for-profit,3,22.5,87.56,,,,32550,32550,53706.259259,27,1450069,0.23
153658,4057.1344279,4844,1,Public,1,73.72,64.66,40.92,59.08,,8356,30319,104012.09341,1092,113581206,0.23
153825,-399.8655721,387,1,Private not-for-profit,1,67.96,98.55,,,,33500,33500,60643.142857,98,5943028,0.25
153834,-163.8655721,623,3,Private not-for-profit,3,72.55,99.06,,,,46130,46130,69393.089552,134,9298674,0.22
154004,-415.8655721,371,1,Private not-for-profit,1,54.18,92.43,,,,33760,33760,62460.422535,71,4434690,0.19
154013,-554.8655721,232,1,Private not-for-profit,1,59.91,89.07,,,,35540,35540,59462.242857,70,4162357,0.3
154095,1082.1344279,1869,1,Public,1,68.91,67.89,9.7,90.3,,7780,18480,75893.240964,415,31495695,0.22
154101,-526.8655721,260,3,Private not-for-profit,3,70.77,95.6,,,,33350,33350,63857.214286,70,4470005,0.27
154235,-339.8655721,447,1,Private not-for-profit,1,64.43,92.49,,,,33290,33290,75074.898551,138,10360336,0.31
154350,-464.8655721,322,3,Private not-for-profit,1,68.94,95.43,,,,43124,43124,60956.181818,77,4693626,0.24
154493,-549.8655721,237,4,Private not-for-profit,3,37.97,65.83,,,,32589,32589,60944.44,25,1523611,0.11
154518,-587.8655721,199,3,Private for-profit,3,31.16,62.07,,,,22434,22434,52272.454545,44,2299988,0.22
154527,-424.8655721,362,3,Private not-for-profit,1,69.89,96.71,,,,45200,45200,63077.873418,79,4983152,0.22
154590,-478.8655721,308,3,Private not-for-profit,2,32.14,94.59,,,,27200,27200,52848.959184,49,2589599,0.16
154688,-604.8655721,182,3,Private not-for-profit,1,62.09,82.55,,,,31000,31000,59423.772727,66,3921969,0.36
154749,-657.8655721,129,3,Private not-for-profit,1,46.51,95.04,,,,30924,30924,54075.5,22,1189661,0.17
433660,1796.1344279,2583,2,Public,1,56.21,55.34,13.01,86.99,,4191,22328,78166.444169,403,31501077,0.16
441900,-544.8655721,242,4,Public,1,28.51,44.44,2.02,97.98,,5400,18765,70657.60241,83,5864581,0.34
441937,84.134427912,871,2,Public,1,58.09,68.63,0.83,99.17,,5742,17622,91795.221719,221,20286744,0.25
441982,-710.8655721,76,2,Private not-for-profit,1,97.37,93.55,,,,55612,55612,116551.81395,43,5011728,0.57
443410,-593.8655721,193,1,Private for-profit,1,56.99,56.83,,,,34700,34700,99540,1,99540,0.01
445188,994.13442791,1781,4,Public,1,71.65,91.12,1.19,98.81,,11442,41196,110502.58222,450,49726162,0.25
445708,-267.8655721,519,1,Private not-for-profit,1,53.95,99.78,,,,35750,35750,85625.581081,74,6336293,0.14
446048,-484.8655721,302,4,Private not-for-profit,1,60.93,98.43,,,,23521,23521,75388.793651,63,4749494,0.21
